"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.144187981060878,0.191177242812297,0.00127075478022228,0.00205497582423548,1,29.42838636,-3.04668647,1,"Gitega",255.807862936816,413.674598880947,1.3402477862781,3.92644153723174,1,29.42838636,-3.04668647,1,"Gitega",269797.07442346,790407.901050666,2.3634901854345,0.68493322828871,2491.09120679033,1308.87592113261,0.179419842669351,36117.9097934836
"Bugarama",195016.1571555,0.0244130035073836,0.0630826887467265,0.000269827771717575,0.000723782361448743,2,29.4303905,-3.72944816,1,"Gitega",52.6207751341931,141.149254746667,0.122330179974751,1.15870352951737,2,29.4303905,-3.72944816,1,"Gitega",23856.3616028167,225965.909608992,0.512434716258042,0.241274405928585,228.481934525109,386.214313955361,0.178438865558079,34798.4618483234
"Buhiga",277009.19890515,0.0947701414596887,0.167636181984424,0.000788219224416381,0.00156087511990368,3,30.1393365,-3.0502219,1,"Gitega",218.34397591722,432.376766555498,1.04933063955973,3.63488827070984,3,30.1393365,-3.0502219,1,"Gitega",290674.239851069,1006897.48797906,1.46147247738612,0.520165711528603,1956.69032208442,1211.58490126388,0.178847168936091,49542.3109934407
"Bururi",161565.439110322,0.0400812982465076,0.0859259113475279,0.000423208260345629,0.00112550846240942,4,29.64527524,-4.00189913,1,"Gitega",68.3758284178571,181.843268951562,0.211356202167559,1.5424464099911,4,29.64527524,-4.00189913,1,"Gitega",34147.8576118916,249206.031534351,0.785427722480104,0.374982115510774,392.448304323102,514.094051875329,0.179915817120094,29068.1779959003
"Busoni",218791.205835172,0.375152437999234,0.27871419411508,0.00318291827095206,0.00415197213098269,5,30.25180248,-2.47173859,1,"Gitega",696.394526576403,908.414989131731,3.10567060955231,5.25501420832131,5,30.25180248,-2.47173859,1,"Gitega",679493.417590803,1149750.89531958,5.74958540995892,1.38388139664962,5612.64515808042,1751.59822281836,0.184604272957708,40389.7914827422
"Butezi",125726.232208091,0.275898120628411,0.246651114670196,0.00229112607022809,0.00320609847139286,6,30.17161805,-3.44652457,1,"Gitega",288.054648323508,403.090680896344,2.32140803452116,4.72787534711671,6,30.17161805,-3.44652457,1,"Gitega",291861.885597935,594417.953742505,4.16853975952719,1.06867916001261,4216.9596658658,1575.94253977124,0.183143547446886,23025.9481737207
"Buye",194429.100944065,0.163214533138727,0.199149134470651,0.0013935049482326,0.00222055260738258,7,29.8634721,-2.84840217,1,"Gitega",270.937914245969,431.740047052395,1.59554796331713,4.17760192079837,7,29.8634721,-2.84840217,1,"Gitega",310220.956020884,812247.385563026,2.5931501940062,0.739759559983497,2954.58688285182,1392.25280129435,0.179568868357687,34913.4136323282
"Cankuzo",179215.356633093,0.165161983626569,0.218882519691948,0.00143898239651192,0.00232320518043032,8,30.52891483,-3.14505865,1,"Gitega",257.887743379627,416.354044942669,1.83080829308657,4.86468908984724,8,30.52891483,-3.14505865,1,"Gitega",328108.961172334,871826.990146089,2.65461248202068,0.774340063891158,3376.03567618726,1621.52811800591,0.180575105023094,32361.8318457721
"Cibitoke",305498.934537512,0.15831514047381,0.195905329275935,0.00132248881324558,0.0021502049741438,9,29.19244319,-2.90271457,1,"Gitega",404.018923384303,656.885328638191,1.34732933496211,3.81215850475832,9,29.19244319,-2.90271457,1,"Gitega",411607.67630206,1164610.36149178,2.40444295719509,0.716702249750226,2469.86766708529,1270.59389965,0.182033731410252,55611.1109957197
"Fota",170992.624432377,0.0214566231772177,0.0626802882020967,0.000268387455833157,0.00076218434886559,10,29.67894889,-3.45736142,1,"Gitega",45.8922754376402,130.32790211381,0.184650148397483,1.36586664221187,10,29.67894889,-3.45736142,1,"Gitega",31573.8134763134,233553.121776447,0.506214620388551,0.254097506575655,346.828302484785,455.343766505648,0.17693488541606,30254.5604109339
"Gahombo",256161.000799576,0.0880391199467818,0.153574259605687,0.00079331538403959,0.00150209566519735,11,29.74184956,-3.01315344,1,"Gitega",203.216462725281,384.778328893659,0.863376829538867,3.1514474313326,11,29.74184956,-3.01315344,1,"Gitega",221163.472721841,807277.927977411,1.47223656738567,0.500460681907717,1610.1157216868,1050.39356353626,0.177803125986101,45546.2266978928
"Gashoho",175175.077974295,0.288826143019828,0.250884103385713,0.00254622902574462,0.00352710313376394,12,30.20685363,-2.81184823,1,"Gitega",446.035868125227,617.860566480478,2.95365899676124,5.29470756569644,12,30.20685363,-2.81184823,1,"Gitega",517407.445067129,927500.810671963,4.7605062812763,1.17587111364906,5479.84255572597,1764.96785636625,0.179771660815514,31491.5147009262
"Gihofi",293350.813541338,0.235144084199581,0.236790756889163,0.00176086324088498,0.00254969381616302,13,30.11562611,-3.91875872,1,"Gitega",516.550664248646,747.95475525274,1.9451311165882,4.62362332225302,13,30.11562611,-3.91875872,1,"Gitega",570605.795495719,1356343.66309163,3.17872680997769,0.849711225371074,3503.53747245283,1541.00153113592,0.184591700866982,54150.1256223084
"Gitega",313416.21747821,0.125653973821399,0.17583054845496,0.000895377793117064,0.00168381445960022,14,29.93208819,-3.40581734,1,"Gitega",280.625921132738,527.734758863017,1.06452702403875,3.53939025357018,14,29.93208819,-3.40581734,1,"Gitega",333640.033277562,1109302.30545321,1.64076527430137,0.561313802940106,1962.88132139142,1179.78696304789,0.180551688304756,56587.8272077813
