"year","mean_burden","max_burden","min_burden","scenario"
2012,0.212173228088705,0.227019861791204,0.19190835156362,"to-present"
2013,0.220195268328323,0.229210991057403,0.204811688331595,"to-present"
2014,0.192985004654824,0.204563230306074,0.17453598931676,"to-present"
2015,0.141638317220742,0.165831320610073,0.108875801922946,"to-present"
2016,0.188177897640445,0.202779748919954,0.173360468249033,"to-present"
2017,0.19903087861876,0.207580241249622,0.187475808757174,"to-present"
2018,0.125090970000412,0.148711631722313,0.0970546699540815,"to-present"
2019,0.174561287102534,0.189145882478037,0.15671234388168,"to-present"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"to-present"
2021,0.200088945044028,0.215031678261206,0.184221579036921,"BAU"
2022,0.225220116843184,0.238097321744416,0.215682511115536,"BAU"
2023,0.170751501410037,0.184917196149784,0.149995300156653,"BAU"
2024,0.217545277823639,0.230725076202184,0.207354579137261,"BAU"
2025,0.232187874621646,0.242404813553051,0.223696728916173,"BAU"
2026,0.173353480598057,0.187101795084872,0.156886423112815,"BAU"
2027,0.219336159974736,0.227143688554457,0.208126532696005,"BAU"
2028,0.233837519482809,0.241405869621755,0.224522474571047,"BAU"
2029,0.174667232440003,0.189176872261814,0.160968195076348,"BAU"
2030,0.220167937192759,0.229416963809708,0.210739498341277,"BAU"
2021,0.181245439683484,0.192286887917371,0.16426530359972,"GF"
2022,0.198591435612411,0.209062531671449,0.187987258935465,"GF"
2023,0.120424815693968,0.154006179208092,0.0820747361251966,"GF"
2024,0.172331007929177,0.195419932318844,0.141508442523455,"GF"
2025,0.203269092247488,0.214779805730401,0.185945098710902,"GF"
2026,0.127718097949599,0.158521397367816,0.0913469476276184,"GF"
2027,0.183698800933266,0.204291387165054,0.162556817455141,"GF"
2028,0.211843868701191,0.22025671775858,0.200700337073679,"GF"
2029,0.132655227557922,0.165035636320922,0.0959831961867023,"GF"
2030,0.190791323291323,0.206496895429973,0.170129538893448,"GF"
2021,0.181245439683484,0.192286887917371,0.16426530359972,"GF with PBO"
2022,0.198591435612411,0.209062531671449,0.187987258935465,"GF with PBO"
2023,0.120424815693968,0.154006179208092,0.0820747361251966,"GF with PBO"
2024,0.172331007929177,0.195419932318844,0.141508442523455,"GF with PBO"
2025,0.203269092247488,0.214779805730401,0.185945098710902,"GF with PBO"
2026,0.127718097949599,0.158521397367816,0.0913469476276184,"GF with PBO"
2027,0.183698800933266,0.204291387165054,0.162556817455141,"GF with PBO"
2028,0.211843868701191,0.22025671775858,0.200700337073679,"GF with PBO"
2029,0.132655227557922,0.165035636320922,0.0959831961867023,"GF with PBO"
2030,0.190791323291323,0.206496895429973,0.170129538893448,"GF with PBO"
2021,0.182834595195201,0.19226087930397,0.168021557017196,"GF at 80%"
2022,0.196666368266481,0.20652482151464,0.184061592264947,"GF at 80%"
2023,0.11282986023533,0.144047509006831,0.0796706722461465,"GF at 80%"
2024,0.167580543937666,0.192046810673739,0.125697429863174,"GF at 80%"
2025,0.198290819635125,0.212994875701953,0.17046604417468,"GF at 80%"
2026,0.119979361573867,0.150249440539817,0.0854893348689801,"GF at 80%"
2027,0.180396049574599,0.203128405798371,0.148507565155609,"GF at 80%"
2028,0.20856906607072,0.220323318334999,0.190628033526797,"GF at 80%"
2029,0.125296732416851,0.155517216376646,0.0923403171189462,"GF at 80%"
2030,0.188152204374432,0.204855244214806,0.163051229391876,"GF at 80%"
2021,0.182834595195201,0.19226087930397,0.168021557017196,"GF at 80% with PBO"
2022,0.196666368266481,0.20652482151464,0.184061592264947,"GF at 80% with PBO"
2023,0.11282986023533,0.144047509006831,0.0796706722461465,"GF at 80% with PBO"
2024,0.167580543937666,0.192046810673739,0.125697429863174,"GF at 80% with PBO"
2025,0.198290819635125,0.212994875701953,0.17046604417468,"GF at 80% with PBO"
2026,0.119979361573867,0.150249440539817,0.0854893348689801,"GF at 80% with PBO"
2027,0.180396049574599,0.203128405798371,0.148507565155609,"GF at 80% with PBO"
2028,0.20856906607072,0.220323318334999,0.190628033526797,"GF at 80% with PBO"
2029,0.125296732416851,0.155517216376646,0.0923403171189462,"GF at 80% with PBO"
2030,0.188152204374432,0.204855244214806,0.163051229391876,"GF at 80% with PBO"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"BAU"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"GF"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"GF with PBO"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"GF at 80%"
2020,0.154589495758598,0.171524552976132,0.132744254675443,"GF at 80% with PBO"
