"year","mean_burden","max_burden","min_burden","scenario"
2012,1495.72156714002,1580.31091833522,1384.22500317817,"to-present"
2013,1547.16671823328,1634.16280368182,1430.1636814334,"to-present"
2014,1449.23924402926,1573.8300112877,1348.66805236322,"to-present"
2015,1468.11292431427,1611.2281805769,1334.4947299278,"to-present"
2016,1555.49841413357,1667.11832072762,1408.74140331847,"to-present"
2017,1415.28102554517,1557.79049261576,1258.33875014293,"to-present"
2018,1237.03458941764,1405.17947566594,995.691003002466,"to-present"
2019,1429.82903032734,1559.60949895985,1269.77533880025,"to-present"
2020,1110.48188281869,1256.62970496637,932.177549576385,"to-present"
2021,1524.19657480395,1668.7754162922,1397.87376976502,"BAU"
2022,1591.28408892178,1717.934557006,1468.35059126142,"BAU"
2023,1550.38611753367,1731.34645062119,1357.33872808193,"BAU"
2024,1663.36506434617,1845.24308020464,1558.43434834588,"BAU"
2025,1653.23626010748,1797.40422918881,1522.63612835369,"BAU"
2026,1589.20220216137,1774.48473405356,1433.42570371685,"BAU"
2027,1695.59746885738,1787.81263824111,1598.67429761108,"BAU"
2028,1678.87235370834,1772.88908767535,1572.51652062554,"BAU"
2029,1604.10433099284,1720.54664572237,1453.21247143013,"BAU"
2030,1697.51673816953,1809.21839045713,1574.88830273878,"BAU"
2021,1544.37222866426,1663.52690561831,1366.80928458228,"GF"
2022,1640.28228008609,1743.26035411306,1501.63267774795,"GF"
2023,1676.50651916076,1779.48480620966,1532.8745973672,"GF"
2024,1692.78011395965,1816.37616541079,1580.16057087735,"GF"
2025,1701.16248165479,1839.63392615068,1591.30685371967,"GF"
2026,1707.24054145547,1832.56404731028,1594.27275473726,"GF"
2027,1708.2057110302,1826.13097332725,1593.31660180048,"GF"
2028,1715.51141133606,1837.22733647214,1577.65165589257,"GF"
2029,1709.15713023177,1823.72648840168,1581.52030521358,"GF"
2030,1713.56372106352,1822.36864448219,1585.37815947205,"GF"
2021,1524.13682872505,1641.83986790237,1372.28797340793,"GF with PBO"
2022,1608.18726572169,1712.85316639933,1456.63312345783,"GF with PBO"
2023,1638.02499376223,1753.49349471374,1477.37497241778,"GF with PBO"
2024,1650.66170325191,1747.38734261795,1486.90371898417,"GF with PBO"
2025,1663.25510751838,1768.97974454417,1523.05102586083,"GF with PBO"
2026,1677.67321892699,1789.74315851834,1567.35580285132,"GF with PBO"
2027,1688.28626578807,1779.53910741012,1598.44613966515,"GF with PBO"
2028,1692.5057464715,1787.80903356827,1581.85636576766,"GF with PBO"
2029,1686.71859130201,1807.38382300229,1538.45065423342,"GF with PBO"
2030,1691.32167800179,1787.77380982657,1575.40130872801,"GF with PBO"
2021,1457.06794049544,1583.50854673253,1279.00475256507,"GF at 80%"
2022,1559.43424634187,1687.45250297915,1392.2360376718,"GF at 80%"
2023,1595.34734773181,1725.86362422825,1441.21817913716,"GF at 80%"
2024,1624.17701559969,1757.95411127707,1474.56523330202,"GF at 80%"
2025,1639.99625141013,1770.36572857952,1444.62272035274,"GF at 80%"
2026,1656.80292688284,1772.02572362767,1493.74434018295,"GF at 80%"
2027,1665.8211132082,1791.19565191927,1506.00766896962,"GF at 80%"
2028,1689.96677768032,1820.48895360712,1547.90653214229,"GF at 80%"
2029,1700.35101305642,1801.80466028138,1570.35921071436,"GF at 80%"
2030,1701.14702560384,1829.86766036562,1559.55161683706,"GF at 80%"
2021,1444.54248328986,1587.13274472294,1290.23581742778,"GF at 80% with PBO"
2022,1531.93815258745,1649.62362320665,1352.27590470333,"GF at 80% with PBO"
2023,1579.74475869135,1707.89329647798,1402.84604661989,"GF at 80% with PBO"
2024,1597.83948361713,1739.43143586075,1459.90353428705,"GF at 80% with PBO"
2025,1615.70137752678,1733.77640530825,1474.30742069272,"GF at 80% with PBO"
2026,1637.72719265793,1747.80170667009,1509.18578383146,"GF at 80% with PBO"
2027,1651.80253273608,1759.8265238044,1547.49825672395,"GF at 80% with PBO"
2028,1662.75818637991,1795.73206954034,1501.87335034405,"GF at 80% with PBO"
2029,1674.7450366306,1823.42993995719,1572.87447230545,"GF at 80% with PBO"
2030,1682.83111008571,1848.48009033651,1562.64085778399,"GF at 80% with PBO"
2020,1110.48188281869,1256.62970496637,932.177549576385,"BAU"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF with PBO"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF at 80%"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF at 80% with PBO"
