"year","mean_burden","max_burden","min_burden","scenario"
2012,4420.01614452528,4930.25489409532,3947.46589841459,"to-present"
2013,4638.95775750056,5254.46581967615,4125.88128454952,"to-present"
2014,4429.7737187621,5019.77157719175,3984.43465192039,"to-present"
2015,4549.94948059767,5209.76033319517,3893.4373995813,"to-present"
2016,4837.89675565574,5495.86938571815,4080.98113991491,"to-present"
2017,4418.19895608,5199.95673975462,3685.31934761308,"to-present"
2018,3784.06344878868,4571.45827589891,3009.46952493151,"to-present"
2019,4353.35754305551,5173.24201413627,3636.37960955997,"to-present"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"to-present"
2021,4462.97025704197,5185.08974473643,3698.39461268652,"BAU"
2022,4528.68094796281,5166.62012921433,3744.191614141,"BAU"
2023,4138.18812954446,4932.28245727461,3472.38527416691,"BAU"
2024,4608.89316050936,5250.74344725911,3860.96285617659,"BAU"
2025,4573.22602985166,5244.73542391074,3794.17664052581,"BAU"
2026,4155.82981474547,4969.55188187283,3487.56117255108,"BAU"
2027,4618.96689613073,5338.18639403293,3852.78570335429,"BAU"
2028,4568.73076419232,5222.22735174043,3812.67896526893,"BAU"
2029,4166.71704249584,4726.23043029257,3391.42802228898,"BAU"
2030,4639.51189385618,5252.53527382421,3893.51539816985,"BAU"
2021,4556.37219477583,5348.68181829753,3611.46984271628,"GF"
2022,4848.70144748026,5627.70416227197,3995.36232181429,"GF"
2023,4876.17031021359,5642.84544029863,3907.82744053413,"GF"
2024,4865.19149924605,5583.05405931226,3957.45182524789,"GF"
2025,4833.50674959134,5573.72163770838,3918.98385625066,"GF"
2026,4862.81668862799,5599.48057245152,4054.73227219544,"GF"
2027,4877.27547706734,5664.7846252596,4089.29411023748,"GF"
2028,4878.64569479186,5592.26635277879,3885.10842118191,"GF"
2029,4876.19128294518,5626.12489494089,3984.71523913584,"GF"
2030,4893.56127499075,5718.96026596258,4119.52567363895,"GF"
2021,4508.73562849614,5341.01152893042,3559.7365341815,"GF with PBO"
2022,4788.94208704124,5487.52898988656,3936.24815812008,"GF with PBO"
2023,4809.25355590017,5541.36353191849,4002.78465748573,"GF with PBO"
2024,4814.46771650028,5502.08872196777,3926.38524325381,"GF with PBO"
2025,4791.90078743637,5518.43637992739,4006.30316839785,"GF with PBO"
2026,4801.92609581334,5508.7610225762,3873.83007080614,"GF with PBO"
2027,4807.26570901089,5492.79836421792,3936.8833934024,"GF with PBO"
2028,4826.74525893558,5529.04673900492,3946.8638692884,"GF with PBO"
2029,4841.60952196309,5658.61353735342,3941.11091640351,"GF with PBO"
2030,4831.97828315506,5477.72799269184,4069.83454641148,"GF with PBO"
2021,4323.72502985239,5092.1005759996,3459.90615115408,"GF at 80%"
2022,4571.14495414569,5336.75833609003,3705.80766789221,"GF at 80%"
2023,4596.68815241826,5298.61766584353,3693.20346624008,"GF at 80%"
2024,4576.23829411834,5297.50244344393,3792.7305115403,"GF at 80%"
2025,4622.63405433717,5374.72483210637,3768.33101493038,"GF at 80%"
2026,4624.34069865126,5423.93845327783,3743.8651413695,"GF at 80%"
2027,4639.05418814537,5291.91133587773,3727.5471896379,"GF at 80%"
2028,4663.56006764288,5472.05206345214,3770.28310304918,"GF at 80%"
2029,4675.66777594321,5390.10212697473,3802.10708483713,"GF at 80%"
2030,4673.59171549873,5336.78664292855,3848.68111162143,"GF at 80%"
2021,4295.68371432278,5040.22659940551,3367.24542786389,"GF at 80% with PBO"
2022,4488.45823529581,5081.32189932863,3646.52597508723,"GF at 80% with PBO"
2023,4530.43834603055,5212.61980642494,3614.32795276147,"GF at 80% with PBO"
2024,4530.40756155862,5162.83252600373,3745.77361565732,"GF at 80% with PBO"
2025,4550.31364260213,5245.22522431749,3784.51681418966,"GF at 80% with PBO"
2026,4554.96130688507,5165.04923092959,3755.73009980979,"GF at 80% with PBO"
2027,4583.11106096592,5193.26108523697,3804.7398358519,"GF at 80% with PBO"
2028,4587.20801004472,5199.42799302071,3859.03395700483,"GF at 80% with PBO"
2029,4619.44302581913,5362.69996614413,3818.91565171347,"GF at 80% with PBO"
2030,4593.32881315815,5324.59640416728,3752.51964516841,"GF at 80% with PBO"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"BAU"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"GF"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"GF with PBO"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"GF at 80%"
2020,3367.03066083758,4077.77005735678,2559.51631023874,"GF at 80% with PBO"
