"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.137580133983922,0.188076458216145,0.001097899420801,0.00191156372509304,1,29.42838636,-3.04668647,1,"Gitega",221.011409066306,384.805187432035,1.2950282660991,3.87259702607232,1,29.42838636,-3.04668647,1,"Gitega",260694.209732292,779568.792243098,2.03662252706839,0.637255724154949,2396.71784867915,1290.83509722598,0.179836906316854,36201.8663223408
"Bugarama",195016.1571555,0.0225371953932936,0.0583904774875589,0.000254772380849318,0.000786961511083366,2,29.4303905,-3.72944816,1,"Gitega",49.6847306625916,153.470209720763,0.112987265476176,1.08432715708312,2,29.4303905,-3.72944816,1,"Gitega",22034.3423206722,211461.315273698,0.472106076466695,0.262281737814779,209.894878486362,361.431044007367,0.178911627523,34890.6580699717
"Buhiga",277009.19890515,0.0902041427358941,0.164638413434816,0.000866598897477054,0.00168264429199592,3,30.1393365,-3.0502219,1,"Gitega",240.055866362205,466.107947368114,1.00387736330365,3.57634769638985,3,30.1393365,-3.0502219,1,"Gitega",278083.264207759,990681.210383231,1.60887710679262,0.560897804816407,1857.90185031978,1192.15565120051,0.180198381067996,49916.6091836505
"Bururi",161565.439110322,0.0654460816181039,0.136811263567992,0.000632262009221584,0.00152503822538361,4,29.64527524,-4.00189913,1,"Gitega",102.15168915266,246.39347054413,0.362702947334911,2.55533110122013,4,29.64527524,-4.00189913,1,"Gitega",58600.2609527729,412853.191440893,1.17461542527556,0.508278863926902,668.679721245244,851.783135900392,0.180342329821829,29137.0877078423
"Busoni",218791.205835172,0.36603002282299,0.276620038592935,0.00308781687960039,0.00391247706720458,5,30.25180248,-2.47173859,1,"Gitega",675.587178485968,856.015575336147,2.9530146122146,5.14464119666088,5,30.25180248,-2.47173859,1,"Gitega",646093.627855316,1125602.25100674,5.7425541112331,1.30436575009851,5491.01154915484,1714.91231288874,0.17976181446606,39330.3041501478
"Butezi",125726.232208091,0.272060590149397,0.24362743667509,0.00217883042924356,0.00296343648082101,6,30.17161805,-3.44652457,1,"Gitega",273.936140489131,372.581703121631,2.2002035979098,4.60944969430046,6,30.17161805,-3.44652457,1,"Gitega",276623.308455885,579528.742617134,4.0508843708981,0.988045165557962,4087.37317911464,1536.53917843063,0.179385387169878,22553.4488420584
"Buye",194429.100944065,0.162708813908393,0.201630385572818,0.00136669151820341,0.00226888140428741,7,29.8634721,-2.84840217,1,"Gitega",265.724603152169,441.136571584309,1.59736495792277,4.25406569996469,7,29.8634721,-2.84840217,1,"Gitega",310574.232648478,827114.169401119,2.51646700909892,0.756390342106234,2957.43025393699,1417.96015563582,0.179818026831711,34961.8572904253
"Cankuzo",179215.356633093,0.163002069667397,0.216484302474143,0.00131496754066839,0.00216455539944115,8,30.52891483,-3.14505865,1,"Gitega",235.662376761827,387.921567862933,1.75415027577757,4.8071070370734,8,30.52891483,-3.14505865,1,"Gitega",314370.667261515,861507.40202256,2.47077437678946,0.721443059315124,3275.2965818399,1602.50755637718,0.178646354743971,32016.1701766428
"Cibitoke",305498.934537512,0.155541441038795,0.196981605268839,0.00128797966110727,0.00211639790716066,9,29.19244319,-2.90271457,1,"Gitega",393.476414174258,646.557305695002,1.3210016067319,3.85487078647022,9,29.19244319,-2.90271457,1,"Gitega",403564.583378936,1177658.91804643,2.38967944853378,0.70547925359097,2445.99551173449,1284.93618873519,0.180214082029722,55055.210048736
"Fota",170992.624432377,0.0336847620536954,0.0925787400048806,0.00038256481208661,0.00104744924407548,10,29.67894889,-3.45736142,1,"Gitega",65.4157612341686,179.106095204176,0.294325547577317,2.07113379502098,10,29.67894889,-3.45736142,1,"Gitega",50327.4978177419,354148.603161226,0.705755022384297,0.349184807681456,542.427361919974,690.352775333074,0.181347600758143,31009.1021881497
