"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.51783467613161,2.1218053814902,0.0620966187042268,"to-present"
1,2013,"2013-01-01",0.495365653722778,2.07307847401709,0.0558684094266266,"to-present"
1,2014,"2014-01-01",0.573282602909812,2.0932782687192,0.0569494568268762,"to-present"
1,2015,"2015-01-01",0.172780977225473,0.707941809046415,0.0523820127811348,"to-present"
1,2016,"2016-01-01",0.382447382192074,1.91808307628353,0.0505005812642181,"to-present"
1,2017,"2017-01-01",0.488190596177254,3.44083563918124,0.0516799703158083,"to-present"
1,2018,"2018-01-01",0.410213937553716,2.01422045440521,0.051193711622794,"to-present"
1,2019,"2019-01-01",0.298308282786258,1.85773619063406,0.0496696470197813,"to-present"
1,2020,"2020-01-01",0.423013961555533,3.22917666797403,0.0513420764379012,"to-present"
2,2012,"2012-02-01",0.417040255838052,1.55593587541412,0.063423561673051,"to-present"
2,2013,"2013-02-01",0.593737765238805,2.13491923114329,0.0606418221985448,"to-present"
2,2014,"2014-02-01",0.242969469674478,1.5231381863543,0.0523641384876887,"to-present"
2,2015,"2015-02-01",0.261758805293123,1.83469776086337,0.0537934789727124,"to-present"
2,2016,"2016-02-01",0.221457260299179,1.3308501381285,0.0506480688002142,"to-present"
2,2017,"2017-02-01",0.33882116040749,1.80370932743037,0.0520067791508359,"to-present"
2,2018,"2018-02-01",0.137316238126269,1.80181760537221,0.0509695933320346,"to-present"
2,2019,"2019-02-01",0.349784297323681,1.93638688726155,0.0497291621593369,"to-present"
2,2020,"2020-02-01",0.148994273685377,0.61210432917938,0.0505206748321839,"to-present"
3,2012,"2012-03-01",0.44297336815602,1.85569962621346,0.0635329015288207,"to-present"
3,2013,"2013-03-01",0.1959217506885,0.690558852066344,0.0546542089694864,"to-present"
3,2014,"2014-03-01",0.509893926495534,2.11024766712416,0.0518386786641542,"to-present"
3,2015,"2015-03-01",0.169544002444745,1.98395842096643,0.0513994942949733,"to-present"
3,2016,"2016-03-01",0.0915430387404022,0.378063441852784,0.0510434552956515,"to-present"
3,2017,"2017-03-01",0.193259077168077,1.49859324023662,0.0522516408862839,"to-present"
3,2018,"2018-03-01",0.159486675949549,1.78471192854279,0.0508394550579539,"to-present"
3,2019,"2019-03-01",0.101444826676235,0.363491663465384,0.0500715248401878,"to-present"
3,2020,"2020-03-01",0.186647563191363,1.42506411826114,0.0501703322012305,"to-present"
4,2012,"2012-04-01",0.372380834844442,1.87131256874139,0.0618754668486693,"to-present"
4,2013,"2013-04-01",0.413693896968221,2.11702619664156,0.0540660405164338,"to-present"
4,2014,"2014-04-01",0.355507165208403,1.7391128475782,0.0520000798014116,"to-present"
4,2015,"2015-04-01",0.19549851610643,1.73427992965424,0.0511168014266386,"to-present"
4,2016,"2016-04-01",0.214311962704237,1.70944443525602,0.0523785603660304,"to-present"
4,2017,"2017-04-01",0.272567091535992,1.65129321036887,0.0519437721657014,"to-present"
4,2018,"2018-04-01",0.185910929097021,1.62104915845737,0.0516059759347082,"to-present"
4,2019,"2019-04-01",0.230102669921494,1.62588547575425,0.0498024241520107,"to-present"
4,2020,"2020-04-01",0.206967416169817,1.72604274910456,0.0508412612994081,"to-present"
5,2012,"2012-05-01",0.459291711536581,1.96771317607646,0.0641298843099145,"to-present"
5,2013,"2013-05-01",0.517226247271288,2.02169893295583,0.0542474831321887,"to-present"
5,2014,"2014-05-01",0.304803210208622,1.48309563670927,0.0542016963904172,"to-present"
5,2015,"2015-05-01",0.22729852085005,1.63252018137407,0.0532529578172704,"to-present"
5,2016,"2016-05-01",0.280898207702403,1.72943852950494,0.0510300850718152,"to-present"
5,2017,"2017-05-01",0.284433173597635,1.74592692728569,0.0516461941271026,"to-present"
5,2018,"2018-05-01",0.241491659434679,1.45804408466691,0.0495100160214638,"to-present"
5,2019,"2019-05-01",0.236218423336964,1.75699349737156,0.0515316900141643,"to-present"
5,2020,"2020-05-01",0.208031084133029,1.67114319408325,0.0499277375899924,"to-present"
6,2012,"2012-06-01",0.638374537524144,2.7872302662758,0.0658457241654615,"to-present"
6,2013,"2013-06-01",0.623194308081263,2.10820540885855,0.0544216443482413,"to-present"
6,2014,"2014-06-01",0.301589494458199,1.96021217289509,0.051524181660393,"to-present"
6,2015,"2015-06-01",0.341713392098865,2.21052561242805,0.0535692846656652,"to-present"
6,2016,"2016-06-01",0.314182626361298,1.79893926527224,0.0510622298478274,"to-present"
6,2017,"2017-06-01",0.412974814908871,1.77189786568959,0.0522891873689613,"to-present"
6,2018,"2018-06-01",0.109649521732968,0.633524001714564,0.04986466516225,"to-present"
