"year","mean_burden","max_burden","min_burden","scenario"
2012,2317.02626535577,2452.50868626785,2123.48366451541,"to-present"
2013,2462.4720540206,2604.76513524988,2266.94145327878,"to-present"
2014,2234.10713603013,2381.75584189103,2002.72095742951,"to-present"
2015,2013.26722963667,2193.24694785025,1697.83662553266,"to-present"
2016,2512.12171970287,2699.55194492936,2219.55400061988,"to-present"
2017,2486.91118177124,2699.03226373746,2212.87902123237,"to-present"
2018,1788.59615398141,1969.92350681448,1529.0101433171,"to-present"
2019,2289.51474248111,2482.06531364594,2014.30145466501,"to-present"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"to-present"
2021,2487.96693293172,2671.50503963812,2259.08126168444,"BAU"
2022,2700.99386712008,2884.11341041125,2500.08908085126,"BAU"
2023,2235.77695427804,2414.79803703038,1974.43618625961,"BAU"
2024,2701.18079431934,2889.1286962541,2467.29576322896,"BAU"
2025,2757.70108115962,2949.44841211636,2514.54841968821,"BAU"
2026,2243.27287019804,2425.30721147531,1974.3514813376,"BAU"
2027,2705.75708879575,2881.11661922411,2471.22159528251,"BAU"
2028,2762.03933581385,2941.69899907728,2547.99687938612,"BAU"
2029,2243.1677350335,2421.66536916845,1988.55463940634,"BAU"
2030,2705.69463232427,2880.06991039418,2482.38172536804,"BAU"
2021,2423.18919358302,2679.61559806178,2164.89723448017,"GF"
2022,2640.41356884891,2859.41237840961,2413.50913228284,"GF"
2023,2109.22366132271,2291.69097724276,1803.30341417618,"GF"
2024,2611.10722308989,2826.1435567414,2376.65041655651,"GF"
2025,2725.92177877136,2949.42108091129,2452.33472098441,"GF"
2026,2137.59978969913,2342.84627446618,1838.09522586841,"GF"
2027,2634.0241486344,2852.2403663883,2344.29335135463,"GF"
2028,2748.62872882901,2958.71902526572,2498.2687261934,"GF"
2029,2165.82836818305,2379.66409676014,1843.92591276059,"GF"
2030,2667.9321026733,2904.71963560295,2392.4317673116,"GF"
2021,2387.82620698327,2638.03382255649,2122.33717707619,"GF with PBO"
2022,2598.09440868335,2847.74486378066,2373.11180849109,"GF with PBO"
2023,2047.44470086534,2245.65605123681,1733.85749568541,"GF with PBO"
2024,2550.89579617751,2770.01883126351,2305.3617158717,"GF with PBO"
2025,2676.62119006684,2893.6385130076,2408.3421205168,"GF with PBO"
2026,2087.35511124586,2302.53878107765,1778.29130030803,"GF with PBO"
2027,2584.18718105718,2783.70798124597,2333.68459624282,"GF with PBO"
2028,2706.86579232454,2929.89916632057,2484.6229303132,"GF with PBO"
2029,2120.23883779607,2352.56009281473,1817.91011656037,"GF with PBO"
2030,2620.82992318829,2869.22138448203,2365.97593204528,"GF with PBO"
2021,2407.35690882889,2621.99562788853,2142.66048401613,"GF at 80%"
2022,2576.11898740165,2805.2514231936,2315.36523904566,"GF at 80%"
2023,1991.89031503383,2250.62159610331,1685.51918961452,"GF at 80%"
2024,2513.28651100676,2753.89476780453,2207.72913466374,"GF at 80%"
2025,2633.08618360519,2849.52561941976,2335.11698956993,"GF at 80%"
2026,2030.35215607556,2298.42907010531,1753.14165094071,"GF at 80%"
2027,2564.97767691256,2817.66572340618,2288.29064479717,"GF at 80%"
2028,2685.523755271,2887.5800548798,2435.81453389927,"GF at 80%"
2029,2062.47700524803,2324.83523920489,1807.05848580526,"GF at 80%"
2030,2604.92357474331,2834.83798668436,2385.30386549478,"GF at 80%"
2021,2377.02910850606,2597.92804466405,2120.6148279999,"GF at 80% with PBO"
2022,2526.86144344676,2766.01859203329,2274.91800841528,"GF at 80% with PBO"
2023,1940.80574351589,2194.38321053077,1661.245505001,"GF at 80% with PBO"
2024,2461.11102961706,2740.0531777621,2166.0200921891,"GF at 80% with PBO"
2025,2586.31369290096,2805.67151625052,2306.47402017947,"GF at 80% with PBO"
2026,1985.36627694127,2259.50688580817,1723.65800560399,"GF at 80% with PBO"
2027,2519.62405136446,2742.12793587418,2255.70814075966,"GF at 80% with PBO"
2028,2632.09845508953,2843.81738026893,2372.56206799185,"GF at 80% with PBO"
2029,2008.54865022514,2289.37716155975,1744.69785427253,"GF at 80% with PBO"
2030,2554.9037503764,2801.56047857861,2312.52712698164,"GF at 80% with PBO"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"BAU"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"GF"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"GF with PBO"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"GF at 80%"
2020,1856.31404273699,2034.98559385973,1569.40844578716,"GF at 80% with PBO"
