"year","mean_burden","max_burden","min_burden","scenario"
2012,1507.00967290241,1608.32212391004,1396.04325548527,"to-present"
2013,1545.1596473427,1644.01764585677,1459.4950802303,"to-present"
2014,1464.60538550253,1538.90757694612,1356.4643243194,"to-present"
2015,1531.06986777554,1586.07513174373,1393.22465909855,"to-present"
2016,1576.37314124926,1683.06317062448,1441.99085056798,"to-present"
2017,1415.22573329217,1518.33860280701,1273.86025428133,"to-present"
2018,1303.48726083373,1441.20673480435,1108.19021068739,"to-present"
2019,1447.46790843076,1596.65871464993,1292.2834163926,"to-present"
2020,1110.66881018743,1319.79728706786,936.338546130833,"to-present"
2021,1545.34936807072,1696.03950533457,1421.90853250975,"BAU"
2022,1564.02922562086,1690.17139032784,1413.81067234816,"BAU"
2023,1508.4700154608,1618.58670201889,1384.15459858516,"BAU"
2024,1649.13629832562,1735.20131867898,1515.29360878767,"BAU"
2025,1630.39050994407,1747.68847236689,1511.47980261368,"BAU"
2026,1557.34194175693,1692.22737670053,1467.50241556789,"BAU"
2027,1699.07720809585,1814.22809803914,1633.29026345643,"BAU"
2028,1659.13491562455,1785.49517580762,1579.68596611166,"BAU"
2029,1575.89734254764,1731.16264222329,1476.97286683762,"BAU"
2030,1704.2103372336,1807.02476869516,1610.84764122458,"BAU"
2021,1556.30154465709,1685.20162872675,1422.69749046086,"GF"
2022,1636.0112842854,1767.21054401397,1509.17602160972,"GF"
2023,1649.5960395521,1804.9732398989,1551.00315718741,"GF"
2024,1672.76780722638,1799.97155383203,1604.41930299071,"GF"
2025,1679.97057869158,1855.60288853335,1591.95888980438,"GF"
2026,1694.99316529423,1884.43032625788,1617.58371326469,"GF"
2027,1703.68707026767,1886.56019114012,1633.42752672463,"GF"
2028,1702.53839691324,1809.3403435194,1624.85907794046,"GF"
2029,1707.0484429139,1795.98197303773,1622.50783256139,"GF"
2030,1720.73511097045,1803.29388606179,1646.08139301222,"GF"
2021,1550.22009013974,1684.34818659463,1389.62902147591,"GF with PBO"
2022,1623.96590567371,1741.670154525,1503.10928394082,"GF with PBO"
2023,1647.92906105795,1761.57900288892,1557.60554866119,"GF with PBO"
2024,1664.65931706429,1763.14788448913,1578.80060987075,"GF with PBO"
2025,1679.55607421738,1789.55224574878,1594.94151175785,"GF with PBO"
2026,1673.42703554113,1792.93879627043,1599.36515875877,"GF with PBO"
2027,1691.26842349899,1850.63886324086,1606.57773972796,"GF with PBO"
2028,1692.54048101859,1812.4642800031,1593.20398824946,"GF with PBO"
2029,1697.33171294963,1825.50923701843,1588.95556926939,"GF with PBO"
2030,1693.89195000695,1830.08679336048,1586.55522899855,"GF with PBO"
2021,1472.13365611637,1623.42955125264,1308.58439734446,"GF at 80%"
2022,1558.44395188762,1673.28195403407,1401.08716494608,"GF at 80%"
2023,1592.94984712751,1722.02156900904,1457.6776363758,"GF at 80%"
2024,1612.01271724828,1716.53370884399,1491.29405121258,"GF at 80%"
2025,1635.32928247538,1755.2437519864,1536.39212892445,"GF at 80%"
2026,1654.60337697448,1760.62391197497,1538.55317379255,"GF at 80%"
2027,1670.35782440456,1810.06471571793,1538.8793391572,"GF at 80%"
2028,1686.47963246375,1764.29727794366,1548.95882845993,"GF at 80%"
2029,1693.51698598685,1843.96023550271,1598.57564210177,"GF at 80%"
2030,1701.71463718931,1870.80878239961,1586.8646853908,"GF at 80%"
2021,1467.71916641919,1628.40679338504,1290.59007519317,"GF at 80% with PBO"
2022,1546.12167532607,1655.57354391767,1406.31274859192,"GF at 80% with PBO"
2023,1570.7807611693,1651.68071959713,1437.75042057685,"GF at 80% with PBO"
2024,1603.14218416612,1715.5662107415,1425.15072616372,"GF at 80% with PBO"
2025,1621.384092151,1706.42910175459,1495.39084148816,"GF at 80% with PBO"
2026,1643.66293878762,1729.62846025266,1544.96828130759,"GF at 80% with PBO"
2027,1658.92405521779,1760.06476457814,1544.58107100722,"GF at 80% with PBO"
2028,1668.7905726297,1785.9217655244,1512.73890196035,"GF at 80% with PBO"
2029,1677.42739474549,1797.27944667495,1555.97189995656,"GF at 80% with PBO"
2030,1687.49695397012,1793.05919446474,1521.46992605988,"GF at 80% with PBO"
2020,1110.66881018743,1319.79728706786,936.338546130833,"BAU"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF with PBO"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF at 80%"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF at 80% with PBO"
