"","year","admin_name","seed","nets_per_capita","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"1",2022,"Bubanza",1,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"2",2022,"Bubanza",2,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"3",2022,"Bubanza",3,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"4",2022,"Bubanza",4,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"5",2022,"Bubanza",5,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"6",2022,"Bubanza",6,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"7",2022,"Bubanza",7,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"8",2022,"Bubanza",8,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"9",2022,"Bubanza",9,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"10",2022,"Bubanza",10,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"11",2022,"Bubanza",11,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"12",2022,"Bubanza",12,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"13",2022,"Bubanza",13,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"14",2022,"Bubanza",14,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"15",2022,"Bubanza",15,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"16",2022,"Bubanza",16,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"17",2022,"Bubanza",17,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"18",2022,"Bubanza",18,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"19",2022,"Bubanza",19,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"20",2022,"Bubanza",20,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"21",2022,"Bubanza",21,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"22",2022,"Bubanza",22,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"23",2022,"Bubanza",23,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"24",2022,"Bubanza",24,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"25",2022,"Bubanza",25,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"26",2022,"Bubanza",26,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"27",2022,"Bubanza",27,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"28",2022,"Bubanza",28,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"29",2022,"Bubanza",29,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"30",2022,"Bubanza",30,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"31",2022,"Bubanza",31,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"32",2022,"Bubanza",32,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"33",2022,"Bubanza",33,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"34",2022,"Bubanza",34,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"35",2022,"Bubanza",35,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"36",2022,"Bubanza",36,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"37",2022,"Bubanza",37,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"38",2022,"Bubanza",38,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"39",2022,"Bubanza",39,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"40",2022,"Bubanza",40,0.539724657,654,0.850804660749853,0.62599802393842,0.582243658617851,0.612951046772036,0.850804660749853,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
"41",2022,"Bubanza",41,0.539724657,654,0.730695750988016,0.537625282653668,0.500047763039777,0.526420159764106,0.730695750988016,6.594,0.8,0.64,0.75,1,0.734129743302374,0.511856558449652
"42",2022,"Bubanza",42,0.539724657,654,0.565121436481303,0.415800381500905,0.386737858782123,0.407134318868493,0.565121436481303,6.594,0.8,0.64,0.75,1,0.800852749131681,0.734136502917537
"43",2022,"Bubanza",43,0.539724657,654,0.643311203899603,0.473330202568083,0.44024661155269,0.463465110173362,0.643311203899603,6.594,0.8,0.64,0.75,1,0.852173113111923,0.511856558449652
"44",2022,"Bubanza",44,0.539724657,654,0.790768932140894,0.58182543155771,0.541158526053743,0.569699094364828,0.790768932140894,6.594,0.8,0.64,0.75,1,0.921665076391424,0.734136502917537
