year,admin_name,seed,nets_per_capita,dist_date,simday,itn_u5,itn_5_10,itn_10_15,itn_15_20,itn_o20,net_life_lognormal_mu,net_life_lognormal_sigma,bio_mortality,block_initial,kill_initial,indoor_net_protection
2010,Buhiga,32,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.856745599,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,33,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.847876889,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,34,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.830680314,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,35,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.831025723,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,36,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.79598996,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,37,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.897049304,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,38,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.903636553,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,39,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.924796197,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,40,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.983345802,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,41,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.908681355,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,42,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.94389983,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,43,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.938170352,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,44,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.850847514,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,45,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.903564341,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,46,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.816746874,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,47,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.888791043,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,48,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.90698719,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,49,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.707363972,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,50,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.934494018,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,51,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.827744323,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Bururi,1,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.892646209,0.8,0.932468527,0.731915571,0.505476919,0.75
2010,Bururi,2,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.806234975,0.8,0.932468527,0.790822209,0.696336458,0.75
2010,Bururi,3,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.917664346,0.8,0.932468527,0.849359779,0.505476919,0.75
