"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.106462533673912,0.164097844991374,0.000622196902794418,0.00127638839709793,1,29.42838636,-3.04668647,1,"Gitega",125.25064828157,256.941931850812,1.18307468457379,3.53246874695006,1,29.42838636,-3.04668647,1,"Gitega",238157.519818679,711099.651256335,1.14336049188897,0.425496723175803,2175.71067860336,1177.52942170106,0.180383173458651,36311.832015416
"Bugarama",195016.1571555,0.00239602673274875,0.010163198347344,3.25309601522619e-05,0.000131203787891352,2,29.4303905,-3.72944816,1,"Gitega",6.34406283747282,25.5868585188168,0.0278665400152715,0.253105140383557,2,29.4303905,-3.72944816,1,"Gitega",5434.42554699821,49359.5918339046,0.060488801392603,0.0437606341103155,51.3462786666749,84.3620596207056,0.178701715189752,34849.7217734021
"Buhiga",277009.19890515,0.0739021191033453,0.140221175186164,0.000488421069790457,0.0011155657213171,3,30.1393365,-3.0502219,1,"Gitega",135.297129271051,309.021966788096,0.839930858351829,3.09562554357443,3,30.1393365,-3.0502219,1,"Gitega",232668.574207755,857516.751935872,0.926158731845167,0.371883147506428,1577.63923136518,1032.06126997994,0.177449079038481,49155.0272309063
"Busoni",218791.205835172,0.320280740153767,0.261065065909375,0.00261975768479,0.00341548948632245,5,30.25180248,-2.47173859,1,"Gitega",573.179942851163,747.279063229841,3.07117547547051,5.20741996114796,5,30.25180248,-2.47173859,1,"Gitega",671946.185609601,1139337.69258971,4.86468272236036,1.13828543344325,5685.94695526648,1735.82379135831,0.180641245156721,39522.7158514059
"Butezi",125726.232208091,0.216147650317972,0.218456095919778,0.00174173148205255,0.00233176766922282,6,30.17161805,-3.44652457,1,"Gitega",218.981336756681,293.164363436028,2.17386000927759,4.45329688487316,6,30.17161805,-3.44652457,1,"Gitega",273311.228314317,559896.238239132,3.23044748098264,0.777171675913376,4043.29059314821,1484.36315688114,0.178879922110881,22489.8986246779
"Cankuzo",179215.356633093,0.147117895933363,0.204140155806706,0.00115211751548994,0.0018506459478392,8,30.52891483,-3.14505865,1,"Gitega",206.477151421762,331.66417354359,1.6273745901717,4.49075294594893,8,30.52891483,-3.14505865,1,"Gitega",291650.517553254,804811.89075935,2.14944396706976,0.616939127446113,3030.31520104311,1496.92291781651,0.179323622346867,32137.5469316319
"Cibitoke",305498.934537512,0.107506861927418,0.166066337750952,0.000768692083294036,0.0014550982295759,9,29.19244319,-2.90271457,1,"Gitega",234.834612433748,444.530958782859,1.16814477790143,3.47401704882708,9,29.19244319,-2.90271457,1,"Gitega",356866.985034446,1061308.50698183,1.42808786356378,0.484884543051364,2182.0217901368,1158.03046310309,0.178486767782257,54527.5173865239
"Gahombo",256161.000799576,0.0572115867226159,0.115773551876758,0.000462010264009375,0.000960214608833856,11,29.74184956,-3.01315344,1,"Gitega",118.349011608318,245.969535181254,0.663850445084834,2.53191261881134,11,29.74184956,-3.01315344,1,"Gitega",170052.594394175,648577.270371789,0.842440282778762,0.320066355116566,1208.37135278517,843.935868322673,0.182359415614178,46713.3704089538
"Gihofi",293350.813541338,0.169966716174684,0.207666565396451,0.00119158756683224,0.00193762684517857,13,30.11562611,-3.91875872,1,"Gitega",349.553182135983,568.40441137267,1.79357065900272,4.39829485263992,13,30.11562611,-3.91875872,1,"Gitega",526145.411962321,1290243.3732166,2.19412496532182,0.645778879904861,3301.99790279454,1466.02687593324,0.181875378327771,53353.2901955902
"Gitega",313416.21747821,0.0752388817182628,0.134407282251064,0.000597974683051785,0.001169446305572,14,29.93208819,-3.40581734,1,"Gitega",187.414963309822,366.523437636245,0.846843951012234,2.89010798242949,14,29.93208819,-3.40581734,1,"Gitega",265414.627920557,905806.711956632,1.08761711085191,0.389690182460543,1549.26548416718,963.306142728917,0.18218635776915,57100.1591281388
