"year","mean_burden","max_burden","min_burden","scenario"
2012,2734.67463466581,2904.30396947859,2479.67010997691,"to-present"
2013,2848.9287986037,3079.06555564527,2611.51127160498,"to-present"
2014,2446.92138103344,2608.09271351985,2157.33925195449,"to-present"
2015,2263.2606588398,2568.73283700891,1934.27769184254,"to-present"
2016,2994.21565368619,3228.91156610246,2717.36070097525,"to-present"
2017,2859.46773901888,3062.03099736458,2563.77981654353,"to-present"
2018,1942.66264570872,2251.74682883423,1576.76493516669,"to-present"
2019,2751.24995211726,3021.56870412289,2330.5232287522,"to-present"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"to-present"
2021,3157.86501485221,3429.02107781882,2894.21531797226,"BAU"
2022,3314.9975841911,3509.08240153173,3060.42347345811,"BAU"
2023,3052.44228234738,3254.52872536447,2790.31369339439,"BAU"
2024,3353.14849100199,3575.06878491728,3086.90200878849,"BAU"
2025,3308.76147725992,3472.34236090727,3054.94297488436,"BAU"
2026,3004.68354139247,3217.03849158199,2730.18499003296,"BAU"
2027,3319.10753533573,3535.09537769152,3050.62166461262,"BAU"
2028,3281.23168437111,3505.82401575581,3024.16396103232,"BAU"
2029,2988.72850902992,3233.67979045003,2647.42035061538,"BAU"
2030,3302.10850354001,3503.75525063342,3014.53444983311,"BAU"
2021,3085.91640424746,3391.8279708581,2729.03723426828,"GF"
2022,3060.70288631344,3327.45060491477,2763.46145338372,"GF"
2023,2018.46762605605,2383.17466325033,1658.15444944817,"GF"
2024,3041.38627589175,3270.52015628539,2734.23059852694,"GF"
2025,3100.37939263918,3321.36547141286,2781.05790634413,"GF"
2026,2064.15513723204,2362.4091355318,1656.97798996088,"GF"
2027,3089.91322708973,3337.66262550317,2782.69682385401,"GF"
2028,3113.27256642587,3303.28849407215,2847.35943041939,"GF"
2029,2071.06048412957,2372.47221814254,1725.09628473924,"GF"
2030,3125.81228340589,3345.4290540561,2835.17715279743,"GF"
2021,3085.91640145377,3391.8280066723,2729.03723506357,"GF with PBO"
2022,3060.70288388272,3327.45063657239,2763.46150630777,"GF with PBO"
2023,2018.46763621345,2383.17473257708,1658.15443783236,"GF with PBO"
2024,3041.3862686405,3270.52011356572,2734.23060114436,"GF with PBO"
2025,3100.3794029637,3321.3654790859,2781.05791685367,"GF with PBO"
2026,2064.15513825538,2362.40913791253,1656.97796886467,"GF with PBO"
2027,3089.91324202616,3337.66271818215,2782.69680576957,"GF with PBO"
2028,3113.27256503376,3303.28847686509,2847.35945629778,"GF with PBO"
2029,2071.06048026723,2372.47222170209,1725.09625206489,"GF with PBO"
2030,3125.81227878271,3345.42905227774,2835.17717901039,"GF with PBO"
2021,3124.0562850781,3383.54634425783,2762.36290278635,"GF at 80%"
2022,3060.2248973013,3323.37394414534,2735.60530754687,"GF at 80%"
2023,1881.17731521428,2227.67882248588,1499.68452193379,"GF at 80%"
2024,3012.78064011343,3281.41549236486,2726.90673257114,"GF at 80%"
2025,3106.24030793508,3338.57107761339,2844.41275253313,"GF at 80%"
2026,1937.27487377153,2272.60577430667,1567.398501681,"GF at 80%"
2027,3115.82672651216,3404.70600054811,2794.05895015524,"GF at 80%"
2028,3169.11199608284,3446.86658519648,2842.29589244973,"GF at 80%"
2029,1981.12038227863,2291.67820933994,1560.90895287856,"GF at 80%"
2030,3179.85482636162,3408.39642166757,2860.74124154501,"GF at 80%"
2021,3124.05628563464,3383.54634988015,2762.36292197844,"GF at 80% with PBO"
2022,3060.22489894523,3323.37396075043,2735.60532751928,"GF at 80% with PBO"
2023,1881.17731475746,2227.67881928552,1499.68452638481,"GF at 80% with PBO"
2024,3012.78064152287,3281.41549484411,2726.9067101959,"GF at 80% with PBO"
2025,3106.24030961685,3338.57110764032,2844.41276950764,"GF at 80% with PBO"
2026,1937.27487312676,2272.60578498962,1567.39850605271,"GF at 80% with PBO"
2027,3115.82673046448,3404.70601027013,2794.05893712008,"GF at 80% with PBO"
2028,3169.11199345689,3446.86656080932,2842.29590800339,"GF at 80% with PBO"
2029,1981.12038058238,2291.67820324994,1560.90894423385,"GF at 80% with PBO"
2030,3179.85482720428,3408.39644457093,2860.74123627033,"GF at 80% with PBO"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"BAU"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF with PBO"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF at 80%"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF at 80% with PBO"
