"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",125.39684304395,139.5914118901,113.582495400275,"to-present"
1,2013,"2013-01-01",134.066162731303,148.268235050328,123.823829905848,"to-present"
1,2014,"2014-01-01",138.556752673503,155.016235092938,128.529731901353,"to-present"
1,2015,"2015-01-01",118.664045847541,138.851214020158,105.392247882739,"to-present"
1,2016,"2016-01-01",142.476633511908,155.782556247752,130.424669880682,"to-present"
1,2017,"2017-01-01",153.386237867213,168.001668975789,138.18078668589,"to-present"
1,2018,"2018-01-01",96.8347649089806,107.182722995493,82.3964839277024,"to-present"
1,2019,"2019-01-01",154.135376941227,164.791349699247,139.25241492859,"to-present"
1,2020,"2020-01-01",94.303009535482,108.971462816674,76.8127219513449,"to-present"
2,2012,"2012-02-01",108.810111276116,115.287554961258,100.417481407659,"to-present"
2,2013,"2013-02-01",113.399879526399,120.544029796705,103.564551662042,"to-present"
2,2014,"2014-02-01",118.969288279023,127.284736390954,109.65355282293,"to-present"
2,2015,"2015-02-01",99.2945879502236,110.000841890038,90.6214353373373,"to-present"
2,2016,"2016-02-01",120.491494231044,134.703427170478,108.552475882777,"to-present"
2,2017,"2017-02-01",127.098390538063,132.511997249745,116.635085817513,"to-present"
2,2018,"2018-02-01",78.3847831622429,94.0850108658339,65.9923563501868,"to-present"
2,2019,"2019-02-01",122.843201345384,138.825435236452,106.233787535689,"to-present"
2,2020,"2020-02-01",71.6822714538182,85.5236520259358,56.210922831215,"to-present"
3,2012,"2012-03-01",109.807201582228,117.322573904086,98.2269518795065,"to-present"
3,2013,"2013-03-01",112.976586533722,124.33426593396,101.642848274692,"to-present"
3,2014,"2014-03-01",115.276093359672,128.983678642062,101.856373091571,"to-present"
3,2015,"2015-03-01",90.134288305185,102.019290086481,74.4647307898602,"to-present"
3,2016,"2016-03-01",118.272267634332,130.115270397903,104.201954923594,"to-present"
3,2017,"2017-03-01",122.67405491445,138.909271484166,103.685990362314,"to-present"
3,2018,"2018-03-01",73.2430759345052,87.4636864391818,56.071655104127,"to-present"
3,2019,"2019-03-01",120.458837794671,130.236758419589,106.844798754909,"to-present"
3,2020,"2020-03-01",65.2943108579567,79.9194029517846,54.9584795781862,"to-present"
4,2012,"2012-04-01",128.39922643305,139.889596162022,107.623504566504,"to-present"
4,2013,"2013-04-01",133.124109898078,147.450751631394,121.082797978777,"to-present"
4,2014,"2014-04-01",136.259625925094,147.163580640096,122.724408074144,"to-present"
4,2015,"2015-04-01",122.346696065298,144.793739910721,100.500395298472,"to-present"
4,2016,"2016-04-01",139.556744756698,151.516714637182,121.681587339994,"to-present"
4,2017,"2017-04-01",146.752847696561,158.621401305073,131.140457070158,"to-present"
4,2018,"2018-04-01",109.675852346661,133.358698983107,90.6089185583646,"to-present"
4,2019,"2019-04-01",148.934064984766,162.476738371501,134.947976392191,"to-present"
4,2020,"2020-04-01",101.700867285721,113.481021605241,77.92642533974,"to-present"
5,2012,"2012-05-01",132.030855887286,146.907480377055,120.634512906252,"to-present"
5,2013,"2013-05-01",134.108307144362,145.672352126762,123.072990060555,"to-present"
5,2014,"2014-05-01",137.979065743594,153.116843646861,126.845277023449,"to-present"
5,2015,"2015-05-01",121.226026913423,135.167873054461,108.391888624175,"to-present"
5,2016,"2016-05-01",130.334487866002,148.17154444477,118.549302079433,"to-present"
5,2017,"2017-05-01",123.030310163316,136.166235522495,101.627664433095,"to-present"
5,2018,"2018-05-01",90.7387242141948,103.910060728252,74.0881141386171,"to-present"
5,2019,"2019-05-01",123.759856581698,141.984269254883,113.580114731529,"to-present"
5,2020,"2020-05-01",87.9950611552328,105.145822284954,65.6305280140467,"to-present"
6,2012,"2012-06-01",133.272028350154,144.557634981701,124.425688483383,"to-present"
6,2013,"2013-06-01",134.605604160252,145.850295388488,123.78902967876,"to-present"
6,2014,"2014-06-01",142.588873999222,150.549714977871,132.672744100852,"to-present"
6,2015,"2015-06-01",129.745790820545,143.863126464501,111.732816170937,"to-present"
6,2016,"2016-06-01",118.051392533615,132.068464917709,102.205791940733,"to-present"
6,2017,"2017-06-01",99.4495094615227,117.156410536192,81.8438993671431,"to-present"
6,2018,"2018-06-01",87.5100854291453,99.8634362032794,73.2793736797095,"to-present"
6,2019,"2019-06-01",92.3370645684578,109.309819180069,79.0040563534629,"to-present"
6,2020,"2020-06-01",82.7489970051705,94.9682547782811,62.1356226197288,"to-present"
7,2012,"2012-07-01",106.870498805153,119.080894585733,96.5084501299134,"to-present"
7,2013,"2013-07-01",111.160561963248,119.739900151216,100.470364492263,"to-present"
7,2014,"2014-07-01",114.28168353062,122.317072569539,102.381607316219,"to-present"
7,2015,"2015-07-01",100.380202063825,113.821985472032,86.0746760958073,"to-present"
7,2016,"2016-07-01",95.5737364057408,109.937836604761,81.218415157764,"to-present"
7,2017,"2017-07-01",80.5963708529577,100.731326092527,65.6171039517657,"to-present"
7,2018,"2018-07-01",66.2791095618064,80.3252454793087,53.0662991156201,"to-present"
7,2019,"2019-07-01",72.1760220878929,85.117144531652,59.4548986025028,"to-present"
7,2020,"2020-07-01",58.744498635188,69.5802605198308,45.9530979114415,"to-present"
8,2012,"2012-08-01",91.3018509916753,103.886980756142,78.8902103604157,"to-present"
8,2013,"2013-08-01",95.8830503309717,106.975047014039,81.443914872576,"to-present"
8,2014,"2014-08-01",78.2719439672099,90.1557285434067,69.4872943105889,"to-present"
8,2015,"2015-08-01",84.9707589948148,99.4203808486152,71.6618000753114,"to-present"
8,2016,"2016-08-01",81.2072110031632,93.7370181077264,60.9122922469573,"to-present"
8,2017,"2017-08-01",70.7012938906632,87.7906343404266,49.8776126476512,"to-present"
8,2018,"2018-08-01",54.291683652196,67.4429230597357,39.9822346656692,"to-present"
8,2019,"2019-08-01",59.4904787698595,74.5572217838969,42.7523454440836,"to-present"
8,2020,"2020-08-01",50.0955532777057,64.4402584607827,37.0940983244363,"to-present"
9,2012,"2012-09-01",117.097606538697,129.579534779377,105.688668654197,"to-present"
9,2013,"2013-09-01",119.167758448534,136.839708928597,106.913085695558,"to-present"
9,2014,"2014-09-01",80.4168939518408,94.4523289776851,69.8210582654662,"to-present"
9,2015,"2015-09-01",111.15053771379,124.452179090479,91.0046825949643,"to-present"
9,2016,"2016-09-01",115.450824424964,129.414052745955,94.3089465190155,"to-present"
9,2017,"2017-09-01",111.659443851782,131.103617432398,87.8149689219366,"to-present"
9,2018,"2018-09-01",95.0882176504261,116.212063571707,71.8187835386042,"to-present"
9,2019,"2019-09-01",98.7249803617268,115.967657453294,78.1928354161947,"to-present"
9,2020,"2020-09-01",83.9233560657805,101.013522942181,63.9412292903712,"to-present"
10,2012,"2012-10-01",164.082174919594,174.664825061689,148.157666245179,"to-present"
10,2013,"2013-10-01",167.649380379435,177.50616768676,150.558500474127,"to-present"
10,2014,"2014-10-01",134.301504147577,147.242509515952,118.717206807846,"to-present"
10,2015,"2015-10-01",168.427386307786,178.254294877376,155.91941613971,"to-present"
10,2016,"2016-10-01",177.375029714988,191.752211540385,156.259534111321,"to-present"
10,2017,"2017-10-01",152.602605679722,170.806529874843,121.27159066693,"to-present"
10,2018,"2018-10-01",155.517228096609,195.103210058495,110.928800727631,"to-present"
10,2019,"2019-10-01",164.06072048216,189.086172602082,123.443415626388,"to-present"
10,2020,"2020-10-01",142.534288617908,173.092637799831,110.984541477981,"to-present"
11,2012,"2012-11-01",142.957288823249,155.46772444986,128.492958767486,"to-present"
11,2013,"2013-11-01",147.677444771808,158.850981076455,138.031674796893,"to-present"
11,2014,"2014-11-01",118.743323915688,132.521921862168,103.822551897348,"to-present"
11,2015,"2015-11-01",151.671110682259,164.248344728454,140.941242573295,"to-present"
11,2016,"2016-11-01",162.969138423056,175.828837066935,152.358741994149,"to-present"
11,2017,"2017-11-01",122.724111403841,136.433067649634,111.069526399059,"to-present"
11,2018,"2018-11-01",154.77437350645,174.09428266274,129.635455556351,"to-present"
11,2019,"2019-11-01",160.195756274632,183.340398375433,139.551946509505,"to-present"
11,2020,"2020-11-01",140.222083894153,163.12617368686,106.990384736766,"to-present"
12,2012,"2012-12-01",129.946212911141,142.511350786751,119.878140814248,"to-present"
12,2013,"2013-12-01",133.793469422555,143.948707273833,121.607156633128,"to-present"
12,2014,"2014-12-01",113.067915608096,125.345154469729,103.139057856816,"to-present"
12,2015,"2015-12-01",140.618288971085,156.326424082696,127.790544125542,"to-present"
12,2016,"2016-12-01",148.773640658365,159.616419366574,133.978125532852,"to-present"
12,2017,"2017-12-01",95.027421842143,107.594645931326,83.8409889086023,"to-present"
12,2018,"2018-12-01",148.096753793526,159.113103091949,134.949927075423,"to-present"
12,2019,"2019-12-01",114.177726745913,134.899292986599,103.741197395704,"to-present"
12,2020,"2020-12-01",136.487982856546,156.395948547665,121.38268211027,"to-present"
1,2021,"2021-01-01",145.356822986328,159.487013210677,132.813722896724,"BAU"
1,2022,"2022-01-01",161.053243462568,169.878654912893,149.159051745301,"BAU"
1,2023,"2023-01-01",135.262668296518,144.715929201769,120.8872746049,"BAU"
1,2024,"2024-01-01",160.305888616015,174.104890474532,146.660332750275,"BAU"
1,2025,"2025-01-01",165.291722541993,174.814150249126,151.388603805097,"BAU"
1,2026,"2026-01-01",140.16525080669,149.88965369041,128.339621800538,"BAU"
1,2027,"2027-01-01",164.850458108845,182.076600263878,149.509469516106,"BAU"
1,2028,"2028-01-01",168.450722241356,177.499300058644,158.830599241378,"BAU"
1,2029,"2029-01-01",140.718598321178,157.46452518169,130.747486823231,"BAU"
1,2030,"2030-01-01",168.054624601504,177.21058875491,157.842923057256,"BAU"
2,2021,"2021-02-01",83.8491943163317,96.629847161168,73.5992160504025,"BAU"
2,2022,"2022-02-01",90.2323647697603,98.9117469249175,80.8037075467499,"BAU"
2,2023,"2023-02-01",78.1028737672233,90.0247880785861,67.3447584139016,"BAU"
2,2024,"2024-02-01",91.3128092722422,105.071339644723,80.1206694779718,"BAU"
2,2025,"2025-02-01",93.7252401930655,108.270865801698,84.0075375158959,"BAU"
2,2026,"2026-02-01",80.7294340513085,92.4990330370787,67.9515606155248,"BAU"
2,2027,"2027-02-01",92.8895479101102,99.9936655166744,78.0522527676702,"BAU"
2,2028,"2028-02-01",94.6666204268337,103.97638879529,81.3146776750917,"BAU"
2,2029,"2029-02-01",82.7545867351962,94.8228287583766,73.6960890151499,"BAU"
2,2030,"2030-02-01",94.1579981997289,102.375612534191,81.9894469388271,"BAU"
3,2021,"2021-03-01",73.6176888027016,91.3847426675534,61.1529964006466,"BAU"
3,2022,"2022-03-01",78.1289599448048,93.6734552597782,62.0577456134562,"BAU"
3,2023,"2023-03-01",65.7563078327639,79.3406225360176,52.3966603351592,"BAU"
3,2024,"2024-03-01",78.4226192412609,92.082351235939,64.92796849131,"BAU"
