"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.141024405987541,0.18386621731158,0.110594205090673,0.0808502297682782,0,"to-present"
2013,0.118013947572769,0.146619475398394,0.096483742798257,0.0880967570283311,0,"to-present"
2014,0.34100131544804,0.404396271699425,0.280684268309982,0.785109491349123,0,"to-present"
2015,0.373551084718652,0.469101709765621,0.297441410928189,0.103801748209764,0,"to-present"
2016,0.208819212609057,0.267513138545973,0.166814018921333,0.111273857984918,0,"to-present"
2017,0.303653329481717,0.360842117943098,0.254852915935321,0.825092553177002,0,"to-present"
2018,0.44917178742883,0.554819985193238,0.363758591484463,0.118788570564267,0.211004085406043,"to-present"
2019,0.254997392951792,0.321901922869048,0.205959191523857,0.834102066983128,0.0310545607917057,"to-present"
2020,0.541878654959154,0.646190069534326,0.441477348562825,0.119376421127596,0.0296418365653129,"to-present"
2021,0.277542769320878,0.352896458209457,0.223598396408966,0.118396118325661,0,"BAU"
2022,0.289832838210966,0.350557154836743,0.246297518937033,0.834175758102252,0,"BAU"
2023,0.480461384459297,0.58130662826244,0.394390468474871,0.118568590214317,0,"BAU"
2024,0.250919493639155,0.313795824662943,0.202483185891014,0.118132031050526,0,"BAU"
2025,0.281817266458727,0.334929203313172,0.237508202473378,0.833735192006307,0,"BAU"
2026,0.47938779980176,0.583414656770499,0.390864153514142,0.118579598643662,0,"BAU"
2027,0.250782612121734,0.317393856836348,0.203362642259629,0.118821089415113,0,"BAU"
2028,0.281909964603891,0.337187044241618,0.238212010165444,0.833988696458829,0,"BAU"
2029,0.479639928064356,0.587853936658143,0.38923437511995,0.118673772414119,0,"BAU"
2030,0.251075672968751,0.321459145203343,0.20002514815025,0.118163650623981,0,"BAU"
2021,0.277679361541026,0.352466538335632,0.223855053930342,0.118784463783676,0,"GF"
2022,0.289836009741533,0.350145446018246,0.243666331482862,0.83352624500641,0,"GF"
2023,0.480463520492951,0.584977650544823,0.389547077834613,0.118114062749649,0,"GF"
2024,0.251897657803269,0.320491826538121,0.202388971125581,0.118177787863358,0,"GF"
2025,0.281889654266407,0.335942280154821,0.238886331549909,0.833499197482625,0,"GF"
2026,0.479369728556386,0.58387528738285,0.390656739737085,0.119178890111649,0,"GF"
2027,0.250562225843887,0.318399695040479,0.202475090391023,0.118633043699625,0,"GF"
2028,0.28159586664761,0.340012199795019,0.237538545886387,0.834496926737743,0,"GF"
2029,0.480039195574767,0.586554266923328,0.391093675313705,0.118865063817685,0,"GF"
2030,0.25120561131449,0.323087644670956,0.199998890708985,0.118224691234977,0,"GF"
2021,0.277679361541026,0.352466538335632,0.223855053930342,0.118784463783676,0,"GF with PBO"
2022,0.289836009741533,0.350145446018246,0.243666331482862,0.83352624500641,0,"GF with PBO"
2023,0.480463520492951,0.584977650544823,0.389547077834613,0.118114062749649,0,"GF with PBO"
2024,0.251897657803269,0.320491826538121,0.202388971125581,0.118177787863358,0,"GF with PBO"
2025,0.281889654266407,0.335942280154821,0.238886331549909,0.833499197482625,0,"GF with PBO"
2026,0.479369728556386,0.58387528738285,0.390656739737085,0.119178890111649,0,"GF with PBO"
2027,0.250562225843887,0.318399695040479,0.202475090391023,0.118633043699625,0,"GF with PBO"
2028,0.28159586664761,0.340012199795019,0.237538545886387,0.834496926737743,0,"GF with PBO"
2029,0.480039195574767,0.586554266923328,0.391093675313705,0.118865063817685,0,"GF with PBO"
2030,0.25120561131449,0.323087644670956,0.199998890708985,0.118224691234977,0,"GF with PBO"
2021,0.279150274616637,0.354528410508592,0.225221553927911,0.12262889534921,0,"GF at 80%"
2022,0.306145908356693,0.352730965715236,0.272968223827436,0.928893638373924,0,"GF at 80%"
2023,0.524226563221252,0.586067433008828,0.464235812007298,0.122849686860449,0,"GF at 80%"
2024,0.268011103465818,0.323622958898224,0.210273435660127,0.122486495581755,0,"GF at 80%"
2025,0.302536165694059,0.336068577827171,0.269436921092487,0.928750503334143,0,"GF at 80%"
2026,0.52285846281818,0.582842014103024,0.458689036242908,0.12266059633386,0,"GF at 80%"
2027,0.267538305521208,0.320093319814982,0.209658931531976,0.123355771733968,0,"GF at 80%"
2028,0.303123461078057,0.3418469219096,0.267378659614201,0.92855039334518,0,"GF at 80%"
2029,0.524025007318369,0.586145742898394,0.459942993857117,0.12246887702425,0,"GF at 80%"
