"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.270692687469319,0.292084262162854,0.236434114229356,"to-present"
1,2013,"2013-01-01",0.269110298748574,0.286585807246197,0.232309841749881,"to-present"
1,2014,"2014-01-01",0.2614936728459,0.28973759425827,0.230706190755966,"to-present"
1,2015,"2015-01-01",0.144129213735264,0.168208065371707,0.101823468965875,"to-present"
1,2016,"2016-01-01",0.183871631601759,0.204083435923683,0.157278059159999,"to-present"
1,2017,"2017-01-01",0.215833781713128,0.23175155456183,0.196861260097881,"to-present"
1,2018,"2018-01-01",0.13662639953981,0.157715514320481,0.104730241794409,"to-present"
1,2019,"2019-01-01",0.150247214023954,0.16959538052593,0.119203914871932,"to-present"
1,2020,"2020-01-01",0.204350907590377,0.227435111266339,0.173363707937492,"to-present"
2,2012,"2012-02-01",0.251613363173074,0.278783309410578,0.210376908923991,"to-present"
2,2013,"2013-02-01",0.253110442282062,0.27158957818946,0.221249015225602,"to-present"
2,2014,"2014-02-01",0.244061497363532,0.268407911743077,0.215127447854069,"to-present"
2,2015,"2015-02-01",0.136076439284464,0.161657847474667,0.100391982221937,"to-present"
2,2016,"2016-02-01",0.175271442346594,0.194436670172823,0.149536600704995,"to-present"
2,2017,"2017-02-01",0.206815102412475,0.227010571347228,0.187659542324006,"to-present"
2,2018,"2018-02-01",0.12497134963541,0.144520129796623,0.093524096633446,"to-present"
2,2019,"2019-02-01",0.151194925451289,0.172831489366287,0.120220391491452,"to-present"
2,2020,"2020-02-01",0.171401705696598,0.187734476014658,0.142155373667526,"to-present"
3,2012,"2012-03-01",0.220499313501368,0.244898670543672,0.182830840591922,"to-present"
3,2013,"2013-03-01",0.221136014636191,0.245616809713598,0.183252675295314,"to-present"
3,2014,"2014-03-01",0.212126698761776,0.233056504014739,0.184769531297529,"to-present"
3,2015,"2015-03-01",0.119251060676755,0.138727487572577,0.0832706897294522,"to-present"
3,2016,"2016-03-01",0.153424675240299,0.169711311156829,0.126679121741958,"to-present"
3,2017,"2017-03-01",0.181265533576874,0.197009828165803,0.161490616895984,"to-present"
3,2018,"2018-03-01",0.105744046877542,0.122571464290817,0.0762840112349777,"to-present"
3,2019,"2019-03-01",0.136876271818798,0.153253726562389,0.109040662787237,"to-present"
3,2020,"2020-03-01",0.132370680707453,0.150060230842972,0.106231038455977,"to-present"
4,2012,"2012-04-01",0.219626834053328,0.242239829568137,0.184404788637773,"to-present"
4,2013,"2013-04-01",0.222524535597435,0.243145239711346,0.192970828244761,"to-present"
4,2014,"2014-04-01",0.212502725767,0.236533078440147,0.183144505684907,"to-present"
4,2015,"2015-04-01",0.127383487229876,0.148639871896252,0.0907425089102229,"to-present"
4,2016,"2016-04-01",0.162313249283669,0.176762547026453,0.136867771231139,"to-present"
4,2017,"2017-04-01",0.184649556815785,0.202192168481039,0.163114554555752,"to-present"
4,2018,"2018-04-01",0.113070951326266,0.130178343366537,0.0825743634931453,"to-present"
4,2019,"2019-04-01",0.149018060705457,0.165065133192132,0.124378683340362,"to-present"
4,2020,"2020-04-01",0.131712431871966,0.148310007372829,0.103902902935912,"to-present"
5,2012,"2012-05-01",0.229394105748646,0.249383743479986,0.195386164443797,"to-present"
5,2013,"2013-05-01",0.228170903730063,0.254572986218689,0.198935891495855,"to-present"
5,2014,"2014-05-01",0.219800801764172,0.240061431094074,0.188447835893904,"to-present"
5,2015,"2015-05-01",0.134610849410788,0.158575907389828,0.0979041775552503,"to-present"
5,2016,"2016-05-01",0.171416192611176,0.188145679848273,0.145721001814593,"to-present"
5,2017,"2017-05-01",0.190941588559655,0.209653717004082,0.170049355012117,"to-present"
5,2018,"2018-05-01",0.113162445114372,0.131270489749283,0.0844264648322885,"to-present"
5,2019,"2019-05-01",0.155035270715881,0.170591711019878,0.12445324975331,"to-present"
5,2020,"2020-05-01",0.130678425455388,0.14861912051754,0.10469603825682,"to-present"
6,2012,"2012-06-01",0.244781020011771,0.27019309300784,0.206747675906606,"to-present"
6,2013,"2013-06-01",0.241582425012161,0.26121131190866,0.201306403213132,"to-present"
6,2014,"2014-06-01",0.233496190360718,0.254142159974394,0.201424381660335,"to-present"
6,2015,"2015-06-01",0.143755560075601,0.164576496715441,0.107741323519358,"to-present"
6,2016,"2016-06-01",0.184044380395572,0.198938705597401,0.16092959280808,"to-present"
6,2017,"2017-06-01",0.202271010727692,0.219843907098366,0.182454146468125,"to-present"
6,2018,"2018-06-01",0.10962645959436,0.125853690281386,0.0833097835802395,"to-present"
6,2019,"2019-06-01",0.166674998397872,0.185482333043361,0.13876713490881,"to-present"
6,2020,"2020-06-01",0.138460798062791,0.154498456814442,0.109835407324343,"to-present"
7,2012,"2012-07-01",0.229445402323917,0.257631908180155,0.185106743331183,"to-present"
7,2013,"2013-07-01",0.224331987610526,0.241197952736972,0.191270870929699,"to-present"
7,2014,"2014-07-01",0.217071827867178,0.235916561834631,0.193777462553642,"to-present"
7,2015,"2015-07-01",0.134059992082458,0.154366631036755,0.0997476197595118,"to-present"
7,2016,"2016-07-01",0.16860261415454,0.182259302564772,0.148229187604973,"to-present"
7,2017,"2017-07-01",0.186070257785561,0.205083245945125,0.165361499625722,"to-present"
