"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.128043753834588,0.18551341063544,0.000943983484130062,0.00165976376597302,1,29.42838636,-3.04668647,1,"Gitega",190.02753440811,334.116879638454,1.39634054843277,3.94461463150566,1,29.42838636,-3.04668647,1,"Gitega",281088.764871005,794066.215370245,1.75346777684062,0.553105173834471,2584.52869264546,1314.83437172471,0.180593078932841,36354.0868010025
"Bugarama",195016.1571555,0.0030148441787452,0.0130788032155013,4.77700099022162e-05,0.00016351621304718,2,29.4303905,-3.72944816,1,"Gitega",9.31592375841038,31.8883035010811,0.0363465131101609,0.325122819949839,2,29.4303905,-3.72944816,1,"Gitega",7088.15731274558,63404.2029501772,0.0872392725409416,0.054483967362496,67.9359056704268,108.390537882965,0.178993973781914,34906.7169209412
"Buhiga",277009.19890515,0.0952987088671182,0.16602998201754,0.000719186978813254,0.00140829736164026,3,30.1393365,-3.0502219,1,"Gitega",199.221408864075,390.111323968204,1.07725341013264,3.65702223689486,3,30.1393365,-3.0502219,1,"Gitega",298409.104158684,1013028.80022056,1.33306693775301,0.469369523666405,1992.97318417313,1218.9514443836,0.180552352231148,50014.6624519908
"Bururi",161565.439110322,0.0161519099576898,0.0583254767766992,0.000183724868616694,0.000544766787135875,4,29.64527524,-4.00189913,1,"Gitega",29.6835890735424,88.0154851763269,0.194142875495026,1.40055408339558,4,29.64527524,-4.00189913,1,"Gitega",31366.7789294944,226281.135481562,0.339204392040733,0.181635649582047,360.883148469573,466.893099764041,0.181131414063667,29264.57644987
"Busoni",218791.205835172,0.339788982204655,0.270406848438798,0.00256794750083964,0.00335033314449697,5,30.25180248,-2.47173859,1,"Gitega",561.84433023012,733.023428634036,3.28224023495665,5.44747313390571,5,30.25180248,-2.47173859,1,"Gitega",718125.298846884,1191859.21572193,4.75611592440615,1.11663239624758,6052.17856833297,1815.79307482522,0.181023626490735,39606.3775245636
"Butezi",125726.232208091,0.240359509520529,0.234956095465642,0.00177104811147566,0.00237665163913561,6,30.17161805,-3.44652457,1,"Gitega",222.667206115089,298.807455859704,2.42355943440114,4.80760937506214,6,30.17161805,-3.44652457,1,"Gitega",304704.996219628,604442.612654858,3.28759679522454,0.792052085672093,4484.49157104404,1602.61919116793,0.180728121179964,22722.2657300041
"Buye",194429.100944065,0.133526272671372,0.178067295157142,0.0010728581724066,0.00179124599647387,7,29.8634721,-2.84840217,1,"Gitega",208.594849901508,348.27034866407,1.47161927774391,3.81494850394003,7,29.8634721,-2.84840217,1,"Gitega",286125.613103703,741737.007768967,1.95691768363932,0.597112120614397,2687.99199997522,1271.60030052646,0.182462251301177,35475.9714767179
"Cankuzo",179215.356633093,0.173282961344698,0.222495913504202,0.00117197682741694,0.00194896002543464,8,30.52891483,-3.14505865,1,"Gitega",210.036245091249,349.283566021912,1.88992830776977,4.85613874130209,8,30.52891483,-3.14505865,1,"Gitega",338704.175687937,870294.636382234,2.15993979453938,0.649707791024677,3486.80417626411,1618.66271962001,0.180551700281306,32357.6373566255
"Cibitoke",305498.934537512,0.129002136436007,0.185918685982915,0.000934609701626593,0.00152157006436225,9,29.19244319,-2.90271457,1,"Gitega",285.522268055346,464.838033486842,1.41216942433202,3.87765958091577,9,29.19244319,-2.90271457,1,"Gitega",431416.254519885,1184620.87046894,1.7289730929343,0.507246603325267,2603.8316384958,1292.58738075012,0.180906138111708,55266.6324444228
"Fota",170992.624432377,0.0200046819151929,0.0701056235787567,0.000193076517403146,0.000675779591188671,10,29.67894889,-3.45736142,1,"Gitega",33.0146604270274,115.55332583519,0.238913680658473,1.73306329110874,10,29.67894889,-3.45736142,1,"Gitega",40852.4772685911,296341.040454095,0.364249778959304,0.225205334245117,450.261641891536,577.719271574526,0.177107688684175,30284.1084952595
